HockeyTeam,SportsTeam
Holiday,root
HollywoodCartoon,Cartoon
Horse,Mammal
HorseRace,Race
HorseRider,Athlete
HorseRiding,Sport
HorseTrainer,Person
Hospital,Building
Host,TelevisionPersonality
HotSpring,NaturalPlace
Hotel,Building
HumanDevelopmentIndex,root
HumanGene,Gene
HumanGeneLocation,GeneLocation
Humorist,Artist
IceHockeyLeague,SportsLeague
IceHockeyPlayer,WinterSportPlayer
Ideology,TopicalConcept
Image,Document
InformationAppliance,Device
Infrastructure,ArchitecturalStructure
InlineHockeyLeague,SportsLeague
Insect,Animal
Instrument,Device
Instrumentalist,MusicalArtist
Intercommunality,PopulatedPlace
InternationalFootballLeagueEvent,SportsEvent
InternationalOrganisation,Organisation
Island,PopulatedPlace
Jockey,Athlete
Journalist,Person
Judge,Person
LacrosseLeague,SportsLeague
LacrossePlayer,Athlete
Lake,BodyOfWater
Language,root
LaunchPad,Infrastructure
Law,WrittenWork
LawFirm,Company
Lawyer,Person
LegalCase,Case
Legislature,Organisation
Letter,WrittenWork
Library,Building
Library,EducationalInstitution
Lieutenant,Politician
LifeCycleEvent,Event
Ligament,AnatomicalStructure
LightNovel,Novel
Lighthouse,Tower
LineOfFashion,Work
Linguist,Person
Lipid,Biomolecule
List,root
LiteraryGenre,Genre
Locality,PopulatedPlace
Lock,Infrastructure
Locomotive,MeanOfTransportation
LunarCrater,Crater
Lymph,AnatomicalStructure
Magazine,PeriodicalLiterature
Mammal,Animal
Manga,Comic
Manhua,Comic
Manhwa,Comic
Marriage,PersonalEvent
MartialArtist,Athlete
MathematicalConcept,TopicalConcept
Mayor,Politician
MeanOfTransportation,root
Media,root
Medician,Scientist
Medicine,root
Meeting,SocietalEvent
MemberOfParliament,Politician
MemberResistanceMovement,Person
Memorial,Monument
MetroStation,Station
MicroRegion,GovernmentalAdministrativeRegion
MilitaryAircraft,Aircraft
MilitaryConflict,SocietalEvent
MilitaryPerson,Person
MilitaryStructure,ArchitecturalStructure
MilitaryUnit,Organisation
MilitaryVehicle,MeanOfTransportation
Mill,ArchitecturalStructure
Mine,Place
Mineral,ChemicalSubstance
MixedMartialArtsEvent,SportsEvent
MixedMartialArtsLeague,SportsLeague
MobilePhone,Device
Model,Person
Mollusca,Animal
Monarch,Person
Monastery,ReligiousBuilding
Monument,Place
Mosque,ReligiousBuilding
Moss,Plant
MotocycleRacer,MotorcycleRider
MotorRace,Race
Motorcycle,MeanOfTransportation
MotorcycleRacingLeague,SportsLeague
MotorcycleRider,MotorsportRacer
MotorsportRacer,Athlete
MotorsportSeason,SportsSeason
Mountain,NaturalPlace
MountainPass,NaturalPlace
MountainRange,NaturalPlace
MouseGene,Gene
MouseGeneLocation,GeneLocation
MovieDirector,Person
MovieGenre,Genre
MovingImage,Image
MovingWalkway,On-SiteTransportation
MultiVolumePublication,WrittenWork
Municipality,GovernmentalAdministrativeRegion
Murderer,Criminal
Muscle,AnatomicalStructure
Museum,Building
MusicComposer,Writer
MusicDirector,MusicalArtist
MusicFestival,SocietalEvent
MusicGenre,Genre
Musical,MusicalWork
MusicalArtist,Artist
MusicalWork,Work
MythologicalFigure,FictionalCharacter
NCAATeamSeason,SportsTeamSeason
Name,root
NarutoCharacter,FictionalCharacter
NascarDriver,RacingDriver
NationalAnthem,MusicalWork
NationalCollegiateAthleticAssociationAthlete,Athlete
NationalFootballLeagueEvent,SportsEvent
NationalFootballLeagueSeason,FootballLeagueSeason
NationalSoccerClub,SoccerClub
NaturalEvent,Event
NaturalPlace,Place
NaturalRegion,Region
Nerve,AnatomicalStructure
NetballPlayer,Athlete
Newspaper,PeriodicalLiterature
NobelPrize,Award
Noble,Person
NobleFamily,Family
Non-ProfitOrganisation,Organisation
NordicCombined,WinterSportPlayer
Novel,Book
NuclearPowerStation,PowerStation
Ocean,BodyOfWater
OfficeHolder,Person
OldTerritory,Territory
OlympicEvent,Olympics
OlympicResult,SportCompetitionResult
Olympics,SportsEvent
On-SiteTransportation,MeanOfTransportation
Openswarm,Swarm
Opera,MusicalWork
Organ,Instrument
Organisation,Agent
OrganisationMember,Person
Orphan,Person
OverseasDepartment,Department
PaintballLeague,SportsLeague
Painter,Artist
Painting,Artwork
Parish,ClericalAdministrativeRegion
Park,Place
Parliament,Organisation
PenaltyShootOut,root
PeriodOfArtisticStyle,TimePeriod
PeriodicalLiterature,WrittenWork
Person,Agent
PersonFunction,root
PersonalEvent,LifeCycleEvent
Philosopher,Person
PhilosophicalConcept,TopicalConcept
Photographer,Artist
Place,root
Planet,CelestialBody
Plant,Eukaryote
Play,WrittenWork
PlayWright,Writer
PlayboyPlaymate,Person
Poem,WrittenWork
Poet,Writer
PokerPlayer,Athlete
PoliticalConcept,TopicalConcept
PoliticalFunction,PersonFunction
PoliticalParty,Organisation
Politician,Person
PoliticianSpouse,Person
PoloLeague,SportsLeague
Polyhedron,root
Polysaccharide,Biomolecule
Pope,Cleric
PopulatedPlace,Place
Population,root
Port,Infrastructure
PowerStation,Infrastructure
Prefecture,GovernmentalAdministrativeRegion
PrehistoricalPeriod,TimePeriod
Presenter,Person
President,Politician
Priest,Cleric
PrimeMinister,Politician
Prison,Building
Producer,Person
Profession,PersonFunction
Professor,Scientist
ProgrammingLanguage,Software
Project,UnitOfWork
ProtectedArea,Place
Protein,Biomolecule
ProtohistoricalPeriod,TimePeriod
Province,GovernmentalAdministrativeRegion
Psychologist,Person
PublicService,root
PublicTransitSystem,Organisation
Publisher,Company
Pyramid,ArchitecturalStructure
Quote,WrittenWork
Race,SportsEvent
RaceHorse,Horse
RaceTrack,SportFacility
Racecourse,RaceTrack
RacingDriver,MotorsportRacer
RadioControlledRacingLeague,SportsLeague
RadioHost,Presenter
RadioProgram,Work
RadioStation,Broadcaster
RailwayLine,RouteOfTransportation
RailwayStation,Station
RailwayTunnel,RouteOfTransportation
RallyDriver,RacingDriver
Rebellion,SocietalEvent
RecordLabel,Company
RecordOffice,Non-ProfitOrganisation
Referee,Person
Reference,Annotation
Regency,GovernmentalAdministrativeRegion
Region,PopulatedPlace
Religious,Person
ReligiousBuilding,Building
ReligiousOrganisation,Organisation
Reptile,Animal
ResearchProject,Project
RestArea,Infrastructure
Restaurant,Building
Resume,WrittenWork
River,Stream
Road,RouteOfTransportation
RoadJunction,RouteOfTransportation
RoadTunnel,RouteOfTransportation
Rocket,MeanOfTransportation
RocketEngine,Engine
RollerCoaster,AmusementParkAttraction
RomanEmperor,Person
RouteOfTransportation,Infrastructure
RouteStop,root
Rower,Athlete
Royalty,Person
RugbyClub,SportsTeam
RugbyLeague,SportsLeague
RugbyPlayer,Athlete
Saint,Cleric
Sales,Activity
SambaSchool,Organisation
Satellite,CelestialBody
School,EducationalInstitution
ScientificConcept,TopicalConcept
Scientist,Person
ScreenWriter,Writer
Sculptor,Artist
Sculpture,Artwork
Sea,BodyOfWater
Senator,Politician
SerialKiller,Murderer
Settlement,PopulatedPlace
Ship,MeanOfTransportation
ShoppingMall,Building
Shrine,ArchitecturalStructure
Singer,MusicalArtist
Single,MusicalWork
SiteOfSpecialScientificInterest,Place
Skater,WinterSportPlayer
SkiArea,SportFacility
SkiResort,SkiArea
Ski_jumper,WinterSportPlayer
Skier,WinterSportPlayer
Skyscraper,Building
SnookerChamp,SnookerPlayer
SnookerPlayer,Athlete
SnookerWorldRanking,SportCompetitionResult
SoapCharacter,FictionalCharacter
SoccerClub,SportsTeam
SoccerClubSeason,SportsTeamSeason
SoccerLeague,SportsLeague
SoccerLeagueSeason,SportsTeamSeason
SoccerManager,SportsManager
SoccerPlayer,Athlete
SoccerTournament,Tournament
SocietalEvent,Event
SoftballLeague,SportsLeague
Software,Work
SolarEclipse,NaturalEvent
Song,MusicalWork
SongWriter,Writer
Sound,Document
SpaceMission,SocietalEvent
SpaceShuttle,MeanOfTransportation
SpaceStation,MeanOfTransportation
Spacecraft,MeanOfTransportation
Species,root
SpeedSkater,WinterSportPlayer
SpeedwayLeague,SportsLeague
SpeedwayRider,MotorcycleRider
SpeedwayTeam,SportsTeam
Sport,Activity
SportCompetitionResult,root
SportFacility,ArchitecturalStructure
SportsClub,Organisation
SportsEvent,SocietalEvent
SportsLeague,Organisation
SportsManager,Person
SportsSeason,root
SportsTeam,Organisation
SportsTeamMember,OrganisationMember
SportsTeamSeason,SportsSeason
Square,ArchitecturalStructure
SquashPlayer,Athlete
Stadium,SportFacility
Standard,TopicalConcept
Star,CelestialBody
State,PopulatedPlace
StatedResolution,WrittenWork
Station,Infrastructure
Statistic,root
StillImage,Image
StormSurge,NaturalEvent
Stream,BodyOfWater
Street,PopulatedPlace
SubMunicipality,GovernmentalAdministrativeRegion
SumoWrestler,Wrestler
SupremeCourtOfTheUnitedStatesCase,LegalCase
Surfer,Athlete
Surname,Name
Swarm,CelestialBody
Swimmer,Athlete
Synagogue,ReligiousBuilding
SystemOfLaw,TopicalConcept
TableTennisPlayer,Athlete
Tax,TopicalConcept
Taxon,TopicalConcept
TeamMember,Athlete
TelevisionDirector,Person
TelevisionEpisode,Work
TelevisionHost,Presenter
TelevisionPersonality,Person
TelevisionSeason,Work
TelevisionShow,Work
TelevisionStation,Broadcaster
Temple,ReligiousBuilding
TennisLeague,SportsLeague
TennisPlayer,Athlete
TennisTournament,Tournament
TermOfOffice,Organisation
Territory,PopulatedPlace
Theatre,Venue
TheatreDirector,Person
TheologicalConcept,TopicalConcept
TimePeriod,root
TopicalConcept,root
Tournament,SportsEvent
Tower,ArchitecturalStructure
Town,Settlement
TrackList,List
TradeUnion,Organisation
Train,MeanOfTransportation
Treadmill,Mill
Tunnel,ArchitecturalStructure
Type,TopicalConcept
UndergroundJournal,PeriodicalLiterature
UnitOfWork,root
University,EducationalInstitution
Unknown,root
Valley,NaturalPlace
Vein,AnatomicalStructure
Venue,ArchitecturalStructure
Vicar,Cleric
VicePresident,Politician
VicePrimeMinister,Politician
VideoGame,Software
VideogamesLeague,SportsLeague
Village,Settlement
Vodka,Beverage
VoiceActor,Actor
Volcano,NaturalPlace
VolleyballCoach,Coach
VolleyballLeague,SportsLeague
VolleyballPlayer,Athlete
WaterPoloPlayer,Athlete
WaterRide,AmusementParkAttraction
WaterTower,Tower
Watermill,Mill
WaterwayTunnel,RouteOfTransportation
Weapon,Device
Website,Work
WindMotor,Mill
Windmill,Mill
Wine,Beverage
WineRegion,Place
Winery,Company
WinterSportPlayer,Athlete
WomensTennisAssociationTournament,Tournament
Work,root
WorldHeritageSite,Place
Wrestler,Athlete
WrestlingEvent,SportsEvent
Writer,Person
WrittenWork,Work
Year,TimePeriod
YearInSpaceflight,TimePeriod
Zoo,ArchitecturalStructure
